category,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre
Books,77932,80079,76998,74699,79051,76644,79114,78108,77211,83504,76557,78332
Clothing,60966,67911,76796,70088,61643,63123,66105,74422,72675,68806,71683,72318
Electronics,76347,72472,70708,73158,72169,70060,72223,65754,69914,70148,68148,64019
Health,67644,67432,67602,72925,69178,63926,75256,69126,64581,72613,72500,71631
Home & Kitchen,57844,57252,62667,65388,59766,63169,60129,65042,58135,64876,66281,61592
Sports,77737,82244,75109,74287,73467,75641,77082,73912,79209,80187,74270,73226
Toys,79836,80271,76859,73278,71920,79090,77102,78205,70209,74664,76399,79268
Grand Total,498306,507661,506739,503823,487194,491653,507011,504569,491934,514798,505838,500386
,,,,,,,,,,,,
Pics de Vente par Catégorie,,,,,,,,,,,,
Mois,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre
Catégorie,Toys,Sports,Books,Books,Books,Toys,Books,Toys,Sports,Books,Books,Toys
Total des Ventes,79836,82244,76998,74699,79051,79090,79114,78205,79209,83504,76557,79268
